manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,unarmed,30.0,White,Lenoir City,TN,FALSE,other,Car,TRUE,Unarmed,M
shot,gun,26.0,White,Piedmont,AL,FALSE,attack,Car,FALSE,Guns,M
shot,gun,24.0,Black,Chester,PA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,hammer,38.0,White,Vancouver,WA,TRUE,attack,Not fleeing,FALSE,Blunt instruments,F
shot,gun,28.0,Black,Landover,MD,FALSE,other,Not fleeing,FALSE,Guns,M
shot,gun,29.0,Black,Chicago,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,34.0,White,Russellville,KY,FALSE,other,Foot,FALSE,Guns,M
shot,knife,38.0,White,Evansville,IN,FALSE,other,Car,TRUE,Sharp objects,M
shot,gun,43.0,White,Fort Worth,TX,FALSE,other,Other,TRUE,Guns,M
shot,unarmed,23.0,Hispanic,Florence,CA,TRUE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,33.0,Hispanic,San Antonio,TX,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,40.0,White,Anson County,NC,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,38.0,Asian,Burnsville,MN,TRUE,other,Not fleeing,TRUE,Guns,M
shot,gun,53.0,Asian,Tampa,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,29.0,Black,Houston,TX,FALSE,attack,Other,FALSE,Guns,M
shot,gun,30.0,Black,Houston,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,60.0,White,Idaho Falls,ID,FALSE,other,Not fleeing,FALSE,Guns,M
shot,toy weapon,25.0,Black,Norfolk,VA,FALSE,attack,Not fleeing,FALSE,Other unusual objects,F
shot,unknown,24.0,White,Covington,LA,FALSE,undetermined,Car,FALSE,Unknown,M
shot,gun,21.0,Black,Chicago,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,23.0,White,White Plains,KY,FALSE,attack,Other,FALSE,Guns,M
shot,knife,61.0,White,Hopewell,VA,TRUE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,54.0,White,Fort Littleton,PA,FALSE,attack,Other,FALSE,Guns,M
shot,gun,62.0,Hispanic,Fort Wayne,IN,FALSE,attack,Foot,FALSE,Guns,M
shot,toy weapon,16.0,Black,Gainesville,FL,TRUE,other,Not fleeing,FALSE,Other unusual objects,M
shot,toy weapon,25.0,White,Stamford,CT,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,28.0,White,South Greensburg,PA,TRUE,attack,Car,FALSE,Guns,M

shot,pick-axe,25.0,Hispanic,Miami,FL,TRUE,other,Not fleeing,FALSE,Piercing objects,M
shot,unknown,33.0,White,Fredericksburg,VA,FALSE,attack,Other,TRUE,Unknown,M
shot,gun,51.0,White,Thornton,CO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,34.0,Hispanic,Fresno,CA,FALSE,attack,Foot,TRUE,Guns,M
shot,gun,30.0,Black,Raleigh,TN,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,knife,44.0,White,Braintree,MA,FALSE,other,Foot,FALSE,Sharp objects,M
shot,toy weapon,24.0,Black,Pawtucket,RI,FALSE,attack,Foot,FALSE,Other unusual objects,M
shot,gun,29.0,White,Redlands,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun and knife,48.0,Hispanic,Pueblo,CO,FALSE,other,Not fleeing,TRUE,Multiple,M
shot,gun,19.0,Hispanic,Pueblo of Laguna,NM,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,22.0,Black,Blue Springs,MO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,meat cleaver,39.0,Hispanic,Lowell,MA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,36.0,White,Grundy,VA,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,55.0,White,Myrtle Beach,SC,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,46.0,White,Tampa,FL,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,knife,34.0,White,Lee's Summit,MO,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,scissors,27.0,Native,Winslow,AZ,FALSE,other,Not fleeing,TRUE,Sharp objects,F
shot,gun,33.0,White,Roswell,NM,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,gun,18.0,Black,Kinston,NC,FALSE,other,Not fleeing,FALSE,Guns,M
shot,gun,33.0,White,Splendora,TX,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,51.0,White,Piedmont,SC,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,50.0,White,Aitkin,MN,TRUE,attack,Not fleeing,FALSE,Guns,F
shot and Tasered,flashlight,46.0,White,Clearlake Park,CA,FALSE,attack,Not fleeing,TRUE,Other unusual objects,M
shot,gun,33.0,White,Los Angeles,CA,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,25.0,Hispanic,Glendale,AZ,FALSE,undetermined,Not fleeing,FALSE,Guns,M
shot,gun,52.0,White,Jackson,GA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,18.0,Black,Baltimore,MD,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,43.0,Black,Baltimore,MD,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,34.0,Black,Richmond,VA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,31.0,Black,Las Vegas,NV,FALSE,attack,Foot,TRUE,Guns,M
shot,shovel,65.0,Hispanic,Lockhart,TX,TRUE,undetermined,Not fleeing,FALSE,Blunt instruments,M
shot,gun,37.0,Hispanic,Odessa,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,30.0,Black,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,36.0,White,Macon County,AL,TRUE,other,Not fleeing,TRUE,Unknown,F
shot,gun,25.0,White,Austin,TX,FALSE,attack,Foot,FALSE,Guns,M
shot,Taser,69.0,White,Eau Claire,WI,FALSE,attack,Not fleeing,FALSE,Electrical devices,M
shot,unknown,48.0,White,Raceland,LA,FALSE,undetermined,Other,FALSE,Unknown,M
shot,knife,50.0,Hispanic,Minneapolis,MN,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,knife,52.0,White,West Springfield,MA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,44.0,Black,Indianapolis,IN,FALSE,attack,Not fleeing,TRUE,Unarmed,M
shot,ax,60.0,White,Oak Hill,OH,FALSE,other,Not fleeing,FALSE,Blunt instruments,M
shot,ax,40.0,Black,Gallatin,TN,FALSE,attack,Not fleeing,TRUE,Blunt instruments,F
shot and Tasered,knife,20.0,Hispanic,Sylmar,CA,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,knife,45.0,Hispanic,San Francisco,CA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,unknown,44.0,White,Omaha,NE,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,knife,40.0,Black,Sacramento,CA,TRUE,other,Foot,FALSE,Sharp objects,M
shot,hatchet,25.0,White,Lake Hallie,WI,TRUE,other,Not fleeing,FALSE,Blunt instruments,F
shot,knife,43.0,Black,Kentwood,MI,FALSE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,27.0,Black,New Brunswick,NJ,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,19.0,Black,Philadelphia,PA,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,39.0,White,Modesto,CA,FALSE,other,Car,FALSE,Guns,M
shot,knife,30.0,White,Rotterdam,NY,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,knife,28.0,Hispanic,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,22.0,Hispanic,Las Vegas,NV,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,16.0,Black,Chicago,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,unarmed,40.0,White,Denver,CO,FALSE,other,Car,FALSE,Unarmed,M
shot,gun,38.0,Hispanic,Benton,IL,FALSE,attack,Car,FALSE,Guns,M
shot,unknown,20.0,White,Noma,FL,FALSE,other,Car,TRUE,Unknown,M
shot,unknown,35.0,Black,Stockton,CA,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,gun,52.0,White,Llano,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,26.0,White,Sparta,TN,FALSE,attack,Car,FALSE,Guns,M
shot and Tasered,unarmed,54.0,White,McPherson,KS,TRUE,attack,Not fleeing,FALSE,Unarmed,M
shot,baseball bat,38.0,Hispanic,Lake Elsinore,CA,FALSE,other,Not fleeing,FALSE,Blunt instruments,M
shot,gun,52.0,White,Cache,OK,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,26.0,White,Muncie,IN,FALSE,attack,Foot,TRUE,Unknown,M
shot,gun,53.0,White,Antioch,IL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,35.0,Black,Dayton,OH,FALSE,other,Car,FALSE,Guns,F
shot,unarmed,22.0,White,El Paso,TX,TRUE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,31.0,Black,Vineland,NJ,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,32.0,Black,New York,NY,FALSE,attack,Foot,FALSE,Guns,M
shot,unknown,37.0,Black,Troy,NY,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,28.0,Black,Greenbelt,MD,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,18.0,Black,Mableton,GA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,41.0,Asian,Charlotte,NC,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,15.0,Black,St. Louis,MO,FALSE,attack,Other,FALSE,Guns,M
shot,gun,38.0,White,Brooksville,AL,FALSE,attack,Car,FALSE,Guns,M
shot,gun,41.0,White,Homestead,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,52.0,White,Perryville,AR,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,knife,48.0,Hispanic,Everett,MA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,knife,29.0,White,Austin,TX,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,knife,51.0,White,Berne,NY,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,unknown,21.0,Black,Fort Pierce,FL,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,24.0,White,Chandler,AZ,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,18.0,White,Antigo,WI,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,30.0,White,Norfolk,VA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,unknown,33.0,Black,Fayetteville,AR,FALSE,other,Car,TRUE,Unknown,M
shot,gun,60.0,White,East Flat Rock,NC,TRUE,attack,Not fleeing,FALSE,Guns,F
shot,gun,28.0,White,Lakewood,CO,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,26.0,Black,Chesapeake,VA,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,gun,24.0,White,Albuquerque,NM,TRUE,attack,Car,FALSE,Guns,F
shot,gun,44.0,White,Kingsbury,TX,FALSE,other,Other,FALSE,Guns,M
shot,machete,34.0,Asian,Atlanta,GA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,21.0,White,Westminster,CO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,36.0,White,Milcreek,UT,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,37.0,Black,Miami,FL,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,53.0,White,Boise,ID,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,unknown,24.0,Black,Houston,TX,FALSE,other,Car,FALSE,Unknown,M
shot and Tasered,knife,45.0,White,Spokane,WA,TRUE,other,Not fleeing,TRUE,Sharp objects,M
shot,unknown,48.0,White,Jackson,MO,FALSE,attack,Car,FALSE,Unknown,M
shot,knife,42.0,White,Wausau,WI,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,knife,33.0,White,Spanish Fork,UT,FALSE,other,Foot,FALSE,Sharp objects,M
shot,unknown,55.0,White,Florence,AZ,FALSE,attack,Car,FALSE,Unknown,M
shot,knife,28.0,Asian,Los Angeles,CA,FALSE,other,Not fleeing,TRUE,Sharp objects,M
shot,toy weapon,25.0,Black,Orlando,FL,FALSE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,28.0,White,Alamo,TN,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,52.0,Black,Greenville,SC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,59.0,White,Visalia,CA,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,unknown,52.0,White,Philadelphia,PA,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,gun,39.0,White,Burien,WA,FALSE,attack,Car,FALSE,Guns,M
shot,unknown,40.0,White,Buffalo,MO,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,unknown,36.0,White,Gretna,LA,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,38.0,Black,Milwaukee,WI,FALSE,attack,Foot,TRUE,Guns,M
shot,gun,26.0,Black,Orlando,FL,FALSE,attack,Not fleeing,FALSE,Guns,F
shot,gun,37.1179309,Black,Weirton,WV,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,29.0,White,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,37.0,Black,St. Petersburg,FL,FALSE,attack,Other,FALSE,Guns,M
shot and Tasered,knife,29.0,Other,Presque Isle,ME,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,toy weapon,21.0,Black,Long Beach,CA,FALSE,other,Not fleeing,FALSE,Other unusual objects,M
shot,gun,33.0,Black,St. Paul,MN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,23.0,White,St. Martin,MS,FALSE,attack,Not fleeing,FALSE,Unarmed,M
shot,gun,26.0,White,Chicago,IL,FALSE,other,Foot,FALSE,Guns,M
shot,gun,29.0,White,Nacogdoches,TX,TRUE,attack,Other,FALSE,Guns,M
shot,toy weapon,33.0,Black,El Paso,TX,FALSE,other,Not fleeing,FALSE,Other unusual objects,M
shot,knife,28.0,Black,Taunton,MA,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,35.0,White,Aurora,CO,FALSE,attack,Car,FALSE,Guns,M
shot,unknown,33.0,Asian,San Diego,CA,FALSE,other,Car,TRUE,Unknown,M
shot,gun,24.0,Black,Greeley,CO,FALSE,attack,Car,FALSE,Guns,M
shot,gun,37.1179309,White,Byng,OK,TRUE,attack,Car,FALSE,Guns,M
shot,gun,28.0,Hispanic,Boyle Heights,CA,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,knife,19.0,White,Jacksonsville,FL,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,43.0,Native,Phoenix,AZ,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,59.0,White,Osteen,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,gun,34.0,White,Stockbridge,GA,TRUE,other,Not fleeing,FALSE,Guns,M

shot,gun,23.0,Black,Riverdale,GA,FALSE,attack,Foot,FALSE,Guns,M
shot,ax,36.0,White,Siskiyou County,CA,TRUE,other,Not fleeing,FALSE,Blunt instruments,M
shot,knife,46.0,White,New York,NY,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,44.0,White,Sullivan,MO,FALSE,attack,Other,FALSE,Guns,M
shot,gun,20.0,Hispanic,Phoenix,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,30.0,Hispanic,Las Vegas,NV,FALSE,attack,Not fleeing,FALSE,Unarmed,M
shot,unarmed,29.0,Black,San Francisco,CA,FALSE,other,Car,FALSE,Unarmed,F
shot,knife,35.0,Hispanic,Citrus Heights,CA,FALSE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,36.0,White,Fisty,KY,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,22.0,Black,Miami,FL,FALSE,other,Not fleeing,FALSE,Guns,M
shot,knife,31.0,Black,Omaha,NE,FALSE,other,Foot,TRUE,Sharp objects,M
shot,gun,63.0,White,Chesterfield County,SC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,38.0,White,Oregon City,OR,TRUE,attack,Not fleeing,FALSE,Unarmed,M
shot,gun,31.0,Native,Flagstaff,AZ,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,unarmed,27.0,Black,Hallandale Beach,FL,FALSE,other,Car,TRUE,Unarmed,M
shot,gun,35.0,Hispanic,Oxford,MA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,22.0,Black,Jacksonville,FL,FALSE,other,Car,FALSE,Unarmed,M
shot,gun,28.0,White,Boulder,CO,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,26.0,Native,Flagstaff,AZ,FALSE,attack,Foot,TRUE,Guns,M
shot,knife,22.0,White,Gresham,OR,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,31.0,Hispanic,Albuquerque,NM,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,43.0,White,Oklahoma City,OK,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,unknown,24.0,Black,Miami Gardens,FL,FALSE,other,Car,FALSE,Unknown,M

shot,gun,43.0,White,Lansing,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,unknown,21.0,Black,Washington Park,IL,FALSE,undetermined,Foot,FALSE,Unknown,M
shot,gun,19.0,Hispanic,Solvang,CA,FALSE,attack,Car,FALSE,Guns,M
shot,gun,25.0,Hispanic,Socorro,NM,FALSE,attack,Car,FALSE,Guns,M
shot,gun,59.0,White,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,50.0,Black,Eastaboga,AL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,58.0,White,Albuquerque,NM,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,25.0,Hispanic,Houston,TX,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,knife,32.0,White,Deland,FL,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,53.0,White,Clinton,NC,FALSE,attack,Not fleeing,TRUE,Guns,M
shot and Tasered,unarmed,38.0,White,Stoneville,NC,FALSE,other,Car,FALSE,Unarmed,M
shot,gun,70.0,White,Tualatin,OR,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,33.0,Black,Tucson,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,36.0,White,Bend,OR,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,21.0,Black,Newnan,GA,FALSE,attack,Foot,TRUE,Guns,M
shot,gun,51.0,White,Berea,KY,FALSE,attack,Foot,FALSE,Guns,M
shot,knife,43.0,Black,Norfolk,VA,TRUE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,18.0,Black,Charlotte,NC,FALSE,other,Not fleeing,TRUE,Guns,M
shot,knife,33.0,White,Wasilla,AK,FALSE,other,Not fleeing,FALSE,Sharp objects,M

shot,unknown,31.0,White,Yreka,CA,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,gun,35.0,Black,Eufaula,AL,FALSE,attack,Other,TRUE,Guns,M
shot,knife,31.0,White,Muncie,IN,TRUE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,31.0,White,Cape Coral,FL,FALSE,other,Car,FALSE,Guns,M
shot,gun,23.0,Black,Columbus,OH,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,25.0,Other,Hilo,HI,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,25.0,White,Wagoner,OK,FALSE,other,Car,TRUE,Unarmed,M
shot,vehicle,21.0,Hispanic,Turlock,CA,FALSE,other,Not fleeing,FALSE,Vehicles,M
shot,gun,49.0,Black,Norman,VA,FALSE,other,Not fleeing,FALSE,Guns,M
shot,gun,63.0,White,Stockbridge,GA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,43.0,Hispanic,Kansas City,MO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,34.0,White,Birmingham,AL,FALSE,attack,Car,FALSE,Guns,M
shot,gun,38.0,White,York,PA,FALSE,attack,Other,FALSE,Guns,M
shot,gun,52.0,Black,Port Arthur,TX,FALSE,other,Foot,FALSE,Guns,M
shot,gun,68.0,White,Ishpeming Township,MI,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,baseball bat,29.0,White,Iredell County,NC,FALSE,other,Not fleeing,FALSE,Blunt instruments,M
shot,gun,32.0,Hispanic,Pueblo,CO,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,50.0,Hispanic,Yakima,WA,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,31.0,Black,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,27.0,Black,Tupelo,MS,FALSE,attack,Car,FALSE,Guns,M
shot,spear,31.0,Hispanic,Maywood,CA,FALSE,other,Not fleeing,FALSE,Piercing objects,M
shot,gun,29.0,Other,Orlando,FL,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,knife,23.0,White,Eagle Mountain,UT,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,61.0,Black,Hiseville,KY,FALSE,attack,Car,FALSE,Guns,M
shot,gun,33.0,White,Schenectady,NY,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,18.0,Black,Mobile,AL,FALSE,other,Not fleeing,FALSE,Guns,M
shot,gun,80.0,Hispanic,Tiverton,RI,FALSE,attack,Car,FALSE,Guns,M
shot,unknown,43.0,White,Vancouver,WA,FALSE,undetermined,Car,FALSE,Unknown,M
shot,unknown,50.0,Hispanic,Boise,ID,FALSE,other,Car,TRUE,Unknown,M
shot,gun,47.0,White,Odessa,MO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,54.0,Other,Amarillo,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,22.0,Hispanic,Chula Vista,CA,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,unknown,43.0,White,Tulsa,OK,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,38.0,White,Pembine,WI,TRUE,attack,Car,FALSE,Guns,M
shot,gun,36.0,White,Butte,MT,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,unknown,30.0,Hispanic,Westminster,CO,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,59.0,White,Montpelier,OH,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,21.0,Hispanic,Albuquerque,NM,FALSE,attack,Car,FALSE,Guns,M
shot,toy weapon,34.0,White,Huntsville,AL,FALSE,attack,Not fleeing,TRUE,Other unusual objects,M
shot,unknown,17.0,White,Carmichael,CA,FALSE,other,Car,FALSE,Unknown,M
shot,unarmed,37.0,Black,Tupelo,MS,FALSE,attack,Foot,FALSE,Unarmed,M
shot,gun,25.0,Black,New York,NY,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,23.0,Black,Hardeeville,SC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,knife,20.0,White,Lake Havasu City,AZ,FALSE,other,Not fleeing,TRUE,Sharp objects,M
shot,toy weapon,19.0,White,Peterborough,NH,TRUE,attack,Car,FALSE,Other unusual objects,M
shot,gun,50.0,White,Casper,WY,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,chair,24.0,Hispanic,Lawndale,NC,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,25.0,White,Colorado Springs,CO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,20.0,Black,Birmingham,AL,FALSE,attack,Car,FALSE,Unknown,M
shot,knife,37.0,White,Wellington,FL,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,44.0,Black,Walls,MS,FALSE,attack,Foot,FALSE,Guns,M
shot,unarmed,22.0,Black,Atlanta,GA,FALSE,undetermined,Other,FALSE,Unarmed,M
shot,gun,31.0,White,Bellville,TX,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,25.0,Black,Wauwatosa,WI,FALSE,other,Not fleeing,TRUE,Guns,M
shot,gun,37.1179309,Black,Belleville,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,36.0,Black,Paterson,NJ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,50.0,White,Farmington,AR,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,42.0,White,Fulshear,TX,TRUE,attack,Not fleeing,FALSE,Guns,F
shot,gun,42.0,Hispanic,Oklahoma City,OK,TRUE,other,Other,FALSE,Guns,M
shot,gun,26.0,Hispanic,Riverview,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,19.0,White,Fresno,CA,TRUE,other,Car,TRUE,Unarmed,M
shot,gun,59.0,White,Pinellas Park,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,unarmed,36.0,Hispanic,Gainesville,GA,FALSE,attack,Other,FALSE,Unarmed,M
shot,baseball bat,51.0,White,Columbia Township,MI,TRUE,attack,Not fleeing,FALSE,Blunt instruments,M
shot,knife,27.0,Hispanic,Thomaston,CT,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,22.0,Black,Lincoln,NE,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,30.0,Black,Dolton,IL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,28.0,White,Boone,IA,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,toy weapon,63.0,Black,Washington,DC,TRUE,attack,Not fleeing,TRUE,Other unusual objects,M
shot,gun,32.0,White,Cochran,GA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,26.0,White,Laguna Pueblo,NM,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,25.0,White,Frederica,DE,FALSE,other,Car,FALSE,Other unusual objects,M
shot,knife,27.0,Asian,Long Beach,CA,FALSE,other,Foot,FALSE,Sharp objects,M
shot,knife,61.0,Asian,Honolulu,HI,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,unknown,30.0,White,Barbourville,KY,FALSE,attack,Not fleeing,FALSE,Unknown,M
shot,gun,37.1179309,Black,Ouachita Parish,LA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,37.0,Black,Fort Madison,IA,FALSE,attack,Foot,FALSE,Guns,M
shot,pitchfork,41.0,White,Madison,WI,TRUE,other,Not fleeing,FALSE,Piercing objects,M
shot,gun,25.0,Black,Columbus,OH,FALSE,undetermined,Other,FALSE,Guns,M
shot,gun,24.0,White,Park County,CO,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,44.0,Hispanic,Douglas,WY,FALSE,undetermined,Not fleeing,FALSE,Unknown,M
shot,gun,63.0,White,Landrum,SC,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,knife,58.0,White,Jackson,WI,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot and Tasered,gun,30.0,White,Cartersville,GA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,35.0,Black,Asheville,NC,FALSE,other,Car,FALSE,Guns,M
shot,gun,50.0,White,Bristol,TN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,40.0,White,New Iberia,LA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,unknown,37.1179309,Hispanic,Reno,NV,FALSE,other,Car,FALSE,Unknown,M
