manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,unknown,26.0,Native,Phoenix,AZ,FALSE,other,Not fleeing,FALSE,Unknown,M
shot,gun,29.0,White,Morenci,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,33.0,Black,Columbus,OH,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,45.0,White,Sunset,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,26.0,White,Rosenberg,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,hammer,35.0,Asian,Stockton,CA,TRUE,attack,Not fleeing,FALSE,Blunt instruments,M
shot,gun,31.0,White,Wyoming,MI,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,42.0,White,Stillwater,OK,FALSE,other,Foot,FALSE,Unarmed,M
shot,gun,48.0,White,Billings,MT,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,31.0,Hispanic,Houston,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,knife,54.0,Black,Randallstown,MD,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,unarmed,59.0,White,Hummelstown,PA,FALSE,other,Foot,FALSE,Unarmed,M
shot,gun,42.0,White,Apple Valley,CA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,17.0,White,Bay City,MI,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,23.0,Black,St. Louis,MO,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,38.0,Black,Emeryville,CA,FALSE,attack,Car,FALSE,Guns,F
shot,knife,29.0,Black,Antioch,CA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,45.0,White,Douglas,GA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,unarmed,28.0,Black,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE,Unarmed,M
shot,gun,37.0,Hispanic,Orlando,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,28.0,Hispanic,Tempe,AZ,FALSE,attack,Car,FALSE,Guns,M
shot,unarmed,28.0,Hispanic,Tempe,AZ,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,51.0,Black,Lorena,TX,FALSE,attack,Car,FALSE,Guns,M
shot,knife,36.0,Black,Memphis,TN,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,59.0,White,Chino,CA,FALSE,other,Car,FALSE,Guns,M
shot,gun,25.0,Black,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,26.0,White,Calimesa,CA,FALSE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,74.0,Black,Gastonia,NC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,33.0,White,Anchorage,AK,FALSE,attack,Car,FALSE,Guns,M
